"시도명","시군구","레벨01","항목","단위","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월",
"서울","강남구","관용","경형","","23","23","23","23","23","23","23","23","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","20","20","20","20","20","20","20","20","20","20","20","20","23","23",
"서울","강남구","관용","소형","","61","61","61","68","62","62","62","62","61","61","61","61","61","61","61","61","61","61","60","60","60","65","65","60","60","60","58","58","58","58","58","58","58","58","58","58","58",
"서울","강남구","관용","중형","","178","178","176","251","249","248","227","231","231","232","229","232","232","220","220","218","218","218","220","217","253","254","253","255","257","256","254","254","254","254","254","232","232","232","232","234","235",
"서울","강남구","관용","대형","","5","5","5","5","5","5","5","5","5","5","5","6","6","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","3",
"서울","강남구","자가용","경형","","781","776","783","784","801","804","810","802","804","807","794","788","775","773","774","775","761","761","719","714","724","724","726","710","722","718","728","740","766","762","785","834","846","853","966","1275","1369",
"서울","강남구","자가용","소형","","4031","4019","4012","4007","3999","4015","4001","3993","4087","4088","4084","4095","4113","4098","4098","4096","4094","4094","4003","4058","4085","4085","3976","4205","4221","4080","3694","3712","3767","3762","3782","3791","3797","3804","3782","3807","3808",
"서울","강남구","자가용","중형","","10060","9962","10134","10012","10061","10254","10451","10604","10816","10861","10913","11030","11024","11030","10976","10911","10761","10761","9751","9627","9453","9408","9194","9091","9027","8967","8852","8864","8870","8845","8819","8851","8873","8878","8894","8905","8935",
"서울","강남구","자가용","대형","","1784","1773","1808","1829","1840","1888","1924","1945","1980","1996","1985","1997","1986","2001","2024","2046","2079","2079","2170","2227","2251","2273","2266","2263","2297","2283","2270","2287","2340","2296","2317","2345","2353","2346","2340","2324","2329",
"서울","강동구","관용","경형","","15","15","15","14","14","14","14","14","14","14","14","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","16","16","16","16","16","16","16","16","16","16",
"서울","강동구","관용","소형","","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","22","22","22","22","22","22","22",
"서울","강동구","관용","중형","","113","113","113","105","105","105","105","105","103","103","103","102","102","102","102","102","102","102","102","104","104","104","103","103","103","103","103","103","106","106","105","106","106","107","107","107","107",
"서울","강동구","관용","대형","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울","강동구","자가용","경형","","785","787","788","792","810","823","826","825","830","828","813","801","796","792","790","786","775","775","758","753","754","754","754","748","749","748","741","737","739","737","742","743","733","728","727","724","713",
"서울","강동구","자가용","소형","","5615","5619","5609","5613","5616","5607","5615","5620","5619","5622","5609","5600","5604","5614","5607","5627","5648","5648","5686","5695","5733","5750","5590","5589","5594","5476","5482","5489","5498","5383","5287","5279","5276","5269","5254","5261","5249",
"서울","강동구","자가용","중형","","9191","9154","9238","9307","9307","9339","9362","9360","9414","9428","9422","9482","9520","9578","9578","9638","9672","9672","9794","9902","9925","9946","9773","9749","9815","9791","9854","9908","9927","9835","9763","9782","9794","9803","9797","9747","9764",
"서울","강동구","자가용","대형","","961","980","1018","1043","1070","1078","1101","1101","1118","1125","1133","1143","1150","1155","1162","1191","1198","1198","1251","1271","1292","1301","1308","1297","1333","1341","1366","1394","1401","1420","1417","1434","1439","1458","1469","1459","1465",
"서울","강북구","관용","경형","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","7","7",
"서울","강북구","관용","소형","","2","2","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"서울","강북구","관용","중형","","55","55","55","55","55","54","54","54","52","52","52","52","52","52","52","52","52","52","52","52","51","50","41","40","40","34","34","34","34","34","34","33","33","33","33","33","33",
"서울","강북구","관용","대형","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"서울","강북구","자가용","경형","","698","696","695","695","724","724","729","722","724","718","719","711","715","718","714","708","691","691","666","664","659","660","654","643","641","630","631","627","620","618","617","625","623","624","617","609","604",
"서울","강북구","자가용","소형","","7778","7768","7753","7753","7735","7726","7716","7723","7714","7721","7717","7722","7716","7702","7686","7679","7692","7692","7600","7273","6808","5664","4781","4439","4441","4434","4433","4459","4484","4495","4501","4514","4509","4515","4527","4530","4531",
"서울","강북구","자가용","중형","","12377","12393","12433","12446","12485","12539","12517","12566","12641","12644","12676","12682","12705","12678","12724","12725","12780","12780","12771","12591","12410","12003","11505","11346","11357","11385","11417","11462","11493","11514","11578","11650","11692","11673","11649","11610","11599",
"서울","강북구","자가용","대형","","983","988","1009","1019","1046","1051","1079","1086","1117","1112","1123","1128","1126","1116","1108","1131","1152","1152","1176","1170","1187","1167","1165","1174","1188","1188","1207","1231","1249","1259","1262","1277","1281","1291","1284","1277","1274",
"서울","강서구","관용","경형","","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6",
"서울","강서구","관용","소형","","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","25","25","25","25","25","25","25","25","25","25","25","25","25",
